index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
3280,45560077,AR308,https://www.petfinder.com/dog/pepper-45560077/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Pit Bull Terrier,,,,Adult,Female,Medium,,Pepper,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3281,45560091,AR308,https://www.petfinder.com/dog/roscoe-45560091/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,,,,Young,Male,Medium,,Roscoe,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3282,45560056,AR308,https://www.petfinder.com/dog/shadow-45560056/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,,,,Baby,Male,Medium,,Shadow,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3283,45560063,AR308,https://www.petfinder.com/dog/blair-45560063/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Shepherd,,,,Adult,Female,Medium,,Blair,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3284,45552893,AR60,https://www.petfinder.com/dog/bambi-45552893/ar/jacksonville/jacksonville-animal-shelter-ar60/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,Gray / Blue / Silver,,,Adult,Female,Medium,Short,Bambi,adoptable,2019-08-08T23:13:44+0000,Jacksonville,AR,72076,US,AR
3285,45552617,AR60,https://www.petfinder.com/dog/kane-45552617/ar/jacksonville/jacksonville-animal-shelter-ar60/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,,Merle (Blue),,,Adult,Male,Medium,Short,Kane,adoptable,2019-08-08T22:25:56+0000,Jacksonville,AR,72076,US,AR
3286,45536888,AR238,https://www.petfinder.com/dog/abby-and-gabby-45536888/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Baby,Female,Medium,Short,ABBY & GABBY,adoptable,2019-08-07T23:52:35+0000,Malvern,AR,72104,US,AR
3287,45536295,AR238,https://www.petfinder.com/dog/biscuit-45536295/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,White / Cream,Yellow / Tan / Blond / Fawn,,Young,Male,Large,Short,BISCUIT,adoptable,2019-08-07T23:01:36+0000,Malvern,AR,72104,US,AR
3288,45534883,AR238,https://www.petfinder.com/dog/bulma-45534883/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Shepherd,Pit Bull Terrier,Black,White / Cream,,Baby,Female,Medium,Medium,BULMA,adoptable,2019-08-07T20:55:24+0000,Malvern,AR,72104,US,AR
3289,45534839,AR238,https://www.petfinder.com/dog/delilah-45534839/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Shepherd,Pit Bull Terrier,Black,Gray / Blue / Silver,White / Cream,Baby,Female,Medium,Medium,DELILAH,adoptable,2019-08-07T20:49:30+0000,Malvern,AR,72104,US,AR
